SNP_ID	Chromosome	Position
PZA00178.3	7	165275756
PZA00182.3	6	113705266
PZA00182.4	6	113705211
PZA00184.1	9	151289948
PZA00184.4	9	151289826
PZA00188.1	7	2998280
PZA00188.3	7	2998619
PZA00191.5	5	2123914
PZA00192.6	1	35621919
PZA00192.7	1	35621803
PZA00193.2	4	197964459
PZA00198.39	6	164470369
PZA00200.11	2	5821018
PZA00200.17	2	5821618
PZA00200.9	2	5821159
PZA00201.2	3	197456470
PZA00204.1	10	127003264
PZA00210.1	3	29693561
PZA00210.6	3	29693448
PZA00211.7	7	125465928
PZA00212.1	6	71680344
PZA00213.19	9	126584378
PZA00214.1	6	91704093
PZA00216.9	4	2589400
PZA00218.1	4	78946415
PZA00218.6	4	78946482
PZA00219.7	3	219309085
PZA00220.11	3	206760693
PZA00220.12	3	206760843
PZA00221.7	unknown	unknown
PZA00225.8	9	104537850
PZA00226.7	2	43256960
PZA00227.8	7	161520499
PZA00230.5	1	298412984
PZA00232.24	3	95541392
PZA00234.21	3	221730615
PZA00235.6	1	292728854
PZA00235.8	1	292728923
PZA00237.2	2	6041506
PZA00237.7	2	6041221
PZA00237.8	2	6041339
PZA00238.3	2	194696599
PZA00240.9	1	41231817
PZA00241.6	6	150470602
PZA00243.27	1	295771152
PZA00245.14	1	284407382
PZA00245.16	1	284407357
PZA00245.17	1	284407550
PZA00245.18	1	284407522
PZA00245.19	1	284407493
PZA00249.2	5	100227859
PZA00250.1	6	133090099
PZA00251.1	10	122517816
PZA00254.3	3	139668467
PZA00255.15	5	169719615
PZA00255.17	5	169719715
PZA00256.16	7	17397465
PZA00256.21	7	17397515
PZA00256.23	7	17397615
PZA00257.11	10	10432605
PZA00257.22	10	10432680
PZA00261.6	5	75234294
PZA00263.14	1	65108102
PZA00266.5	6	161570166
PZA00270.3	multiple	
PZA00273.1	5	83357417
PZA00274.7	1	41505016
PZA00277.17	2	141942780
PZA00277.9	2	141942814
PZA00280.14	2	62870552
PZA00287.1	9	72258299
PZA00289.11	1	215472483
PZA00294.20	1	63913289
PZA00296.6	2	multiple
PZA00297.2	3	39992968
PZA00297.3	3	39992991
PZA00297.4	3	39993067
PZA00298.4	8	166980037
PZA00298.5	8	166979956
PZA00299.2	8	77788745
PZA00300.12	5	171689147
PZA00300.13	5	171689041
PZA00300.14	5	171688876
PZA00300.16	5	171689181
PZA00301.3	1	104998371
PZA00303.19	3	187604432
PZA00303.21	3	187604290
PZA00307.12	1	291983606
PZA00307.14	1	291983663
PZA00307.17	1	291983425
PZA00309.2	3	1240409
PZA00310.5	10	20451157
PZA00314.6	8	153355348
PZA00314.8	8	153355063
PZA00315.1	4	39975317
PZA00315.6	4	39975220
PZA00318.2	1	255148812
PZA00323.3	9	142499873
PZA00323.4	9	142500070
PZA00326.16	7	153447034
PZA00326.18	7	153447109
PZA00326.19	7	153447067
PZA00332.8	4	194749351
PZA00332.9	4	194749371
PZA00334.2	8	154182352
PZA00335.12	multiple	
PZA00337.3	10	86327722
PZA00337.4	10	86327620
PZA00337.5	10	86327655
PZA00342.9	10	130170772
PZA00344.10	4	193202013
PZA00345.15	5	61898524
PZA00346.1	7	140152310
PZA00346.2	7	140152258
PZA00346.3	7	140152256
PZA00349.3	2	21201165
PZA00349.5	2	21201138
PZA00350.2	7	147187128
PZA00352.22	5	191075724
PZA00355.1	6	78756195
PZA00355.2	6	78756245
PZA00356.9	1	263637986
PZA00364.5	1	268082607
PZA00364.6	1	268082618
PZA00367.2	2	161879250
PZA00369.1	1	219201506
PZA00370.1	7	122373056
PZA00370.5	7	122373149
PZA00380.5	3	39489976
PZA00380.7	3	39490060
PZA00381.3	1	237639087
PZA00381.4	1	237639037
PZA00381.5	1	237639137
PZA00382.17	6	118741714
PZA00385.3	1	291738809
PZA00386.3	7	164941846
PZA00390.6	2	206974644
PZA00391.2	3	157104591
PZA00392.3	7	139404579
PZA00392.4	7	139404709
PZA00393.1	1	4175293
PZA00393.4	1	4175573
PZA00394.11	2	56930271
PZA00395.1	5	202847226
PZA00395.2	5	202847197
PZA00396.12	2	4679467
PZA00401.11	5	55324334
PZA00401.6	5	55324262
PZA00406.1	5	91466580
PZA00407.9	5	48828227
PZA00408.7	5	214442805
PZA00409.3	10	62062924
PZA00411.1	1	251196990
PZA00411.4	1	251197217
PZA00411.5	1	251197251
PZA00413.17	3	125192483
PZA00413.18	3	125192339
PZA00413.21	3	125192462
PZA00417.2	8	60100989
PZA00417.3	8	60100774
PZA00419.1	8	125230104
PZA00420.4	3	226872236
PZA00422.2	8	153373467
PZA00422.5	8	153373529
PZA00422.6	8	153373598
PZA00423.16	7	167060647
PZA00423.17	7	167060733
PZA00424.1	7	169017514
PZA00425.4	1	21457569
PZA00425.9	1	21457466
PZA00429.1	8	144443084
PZA00433.5	5	213271532
PZA00436.7	4	6401332
PZA00439.6	6	141805491
PZA00440.1	6	22404308
PZA00442.3	2	63547199
PZA00442.4	2	63547171
PZA00442.5	2	63547256
PZA00442.6	2	63547250
PZA00444.1	10	106780357
PZA00444.5	10	106780310
PZA00445.18	4	49713883
PZA00449.2	5	37511797
PZA00452.4	8	78017780
PZA00458.6	3	5480980
PZA00459.5	2	17015152
PZA00460.3	8	163565396
PZA00460.5	8	163565429
PZA00460.7	8	163565496
PZA00462.2	6	36605422
PZA00463.3	10	13546326
PZA00466.1	9	11972467
PZA00468.11	1	50197355
PZA00468.7	1	50197644
PZA00470.1	5	169327292
PZA00471.2	2	22429044
PZA00471.3	2	22429274
PZA00471.4	2	22429124
PZA00472.2	5	62415995
PZA00477.10	1	298082504
PZA00477.11	1	298082627
PZA00477.5	1	298082468
PZA00477.9	1	298082534
PZA00478.10	2	162822752
PZA00478.11	2	162822788
PZA00478.7	2	162823104
PZA00478.9	2	162822817
PZA00480.10	3	22952214
PZA00481.7	8	24557261
PZA00484.5	1	180171012
PZA00485.2	2	121241431
PZA00486.2	7	multiple
PZA00487.16	2	222135246
PZA00487.24	2	222134965
PZA00487.26	2	222134910
PZA00489.1	6	51443123
PZA00493.1	4	multiple
PZA00493.2	4	multiple
PZA00493.5	4	multiple
PZA00495.3	2	170377897
PZA00495.4	2	170377910
PZA00495.6	2	170377859
PZA00496.1	7	162222117
PZA00497.1	2	19837545
PZA00497.4	2	19837491
PZA00498.4	8	48775838
PZA00499.10	5	34586816
PZA00499.12	5	34586858
PZA00499.3	5	34586850
PZA00501.12	6	23874393
PZA00501.14	6	23874474
PZA00502.5	9	139381999
PZA00503.5	6	12075777
PZA00504.1	7	142135761
PZA00504.2	7	142135807
PZA00505.4	7	162531108
PZA00505.8	7	162531294
PZA00510.2	6	131576099
PZA00510.3	6	131576037
PZA00514.1	9	104237592
PZA00514.6	9	104237516
PZA00514.7	9	104237687
PZA00515.14	2	169265448
PZA00516.3	8	163572301
PZA00517.6	5	18240488
PZA00522.12	5	57933548
PZA00523.2	4	148408488
PZA00525.16	2	2527199
PZA00525.2	2	2527379
PZA00527.6	2	216832881
PZA00527.9	2	216833018
PZA00529.3	4	240769180
PZA00531.1	8	123932505
PZA00533.3	2	187495401
PZA00533.4	2	187495335
PZA00533.5	2	187495476
PZA00533.6	2	187495431
PZA00534.2	7	21624035
PZA00536.2	6	124027590
PZA00538.12	3	206889384
PZA00538.16	3	206889649
PZA00538.8	3	206889455
PZA00543.2	6	80533898
PZA00543.4	6	80534176
PZA00543.5	6	80534244
PZA00545.21	5	206665028
PZA00545.22	5	206664914
PZA00545.4	5	206664777
PZA00547.13	5	92862674
PZA00547.18	5	92862265
PZA00552.4	10	26982383
PZA00560.1	unknown	unknown
PZA00560.2	unknown	unknown
PZA00562.4	10	61763079
PZA00565.3	3	73140552
PZA00566.5	multiple	
PZA00568.19	9	129048317
PZA00573.3	5	160173922
PZA00578.1	6	92705503
PZA00579.6	9	147384958
PZA00582.4	6	62407447
PZA00586.1	3	185989508
PZA00587.3	10	84518272
PZA00587.6	10	84518305
PZA00588.2	9	59789931
PZA00588.4	9	59789965
PZA00589.10	9	multiple
PZA00589.8	9	multiple
PZA00589.9	9	multiple
PZA00593.2	1	87911166
PZA00595.3	5	165094873
PZA00600.11	8	83913342
PZA00603.1	5	183706112
PZA00608.1	3	67283995
PZA00608.5	3	67284085
PZA00610.18	1	280215146
PZA00610.9	1	280215196
PZA00613.22	2	4180789
PZA00614.12	7	145912535
PZA00615.3	3	1882847
PZA00615.6	3	1882706
PZA00615.8	3	1882683
PZA00617.16	1	53357515
PZA00618.22	3	189138110
PZA00620.2	2	10429605
PZA00621.2	3	69079684
PZA00622.1	6	114589965
PZA00622.2	6	114589552
PZA00623.2	1	293632755
PZA00626.3	5	66131744
PZA00626.4	5	66131678
PZA00630.9	4	103665461
PZA00636.5	multiple	
PZA00636.6	4	226884613
PZA00637.4	2	169524428
PZA00639.12	2	207125619
PZA00639.13	2	207125810
PZA00639.15	2	207125505
PZA00641.7	8	166182794
PZA00641.8	8	166182700
PZA00644.11	4	25192009
PZA00647.9	10	129730703
PZA00650.8	1	189467910
PZA00654.10	1	32583345
PZA00654.12	1	32583282
PZA00655.1	7	133818011
PZA00656.15	10	17646117
PZA00656.16	10	17646056
PZA00656.18	10	17645938
PZA00656.4	10	17645859
PZA00658.19	1	224518576
PZA00658.23	1	224518818
PZA00662.3	4	123175449
PZA00665.6	10	68803444
PZA00667.1	3	161516074
PZA00672.6	2	228991006
PZA00672.8	2	228991012
PZA00673.2	1	258064025
PZA00674.3	5	168637658
PZA00676.2	2	214263400
PZA00680.1	2	1081781
PZA00680.3	2	1081791
PZA00682.2	4	244992844
PZA00684.12	5	920922
PZA00686.8	8	146670143
PZA00692.5	1	88863284
PZA00693.3	9	28318787
PZA00695.1	7	165518207
PZA00698.4	1	273531917
PZA00700.3	4	2852810
PZA00704.11	4	128552748
PZA00705.5	1	95897171
PZA00706.16	8	159897914
PZA00710.1	5	61492543
PZA00710.16	5	61492683
PZA00712.4	10	117797175
PZA00715.3	5	192778685
PZA00717.14	8	68476007
PZA00719.1	3	140524287
PZA00719.2	3	140524105
PZA00719.3	3	140523988
PZA00720.2	2	150709580
PZA00720.3	2	150709624
PZA00721.4	6	147302259
PZA00721.5	6	147302331
PZA00725.4	2	201957482
PZA00726.6	4	60767943
PZA00726.7	4	60767994
PZA00726.9	4	60767888
PZA00727.11	10	142854665
PZA00727.12	10	142854744
PZA00729.18	2	186070362
PZA00729.19	2	186070557
PZA00730.2	2	38352327
PZA00731.6	1	9300391
PZA00731.7	1	9300541
PZA01104.1	6	126415640
PZA01149.1	9	34889509
PZA01149.3	9	34889489
PZA01182.1	5	162159968
PZA01240.1	4	19461458
PZA01240.2	4	19461323
PZA01420.1	3	106632816
PZA01420.2	3	106632820
PZA01420.3	3	106632849
PZA01474.2	2	47923897
PZA01637.2	4	180274135
PZA01637.3	4	180273993
PZA01637.4	4	180273983
PZA01725.1	1	20029747
PZA01725.2	1	20029738
PZA01782.2	9	19252475
PZA01782.3	9	19252762
PZA01782.4	9	19252371
PZA02789.31	3	222114627
PZA02789.36	3	222114560
PZA02791.6	1	68322875
PZA02792.16	5	21771297
PZA02792.9	5	21771433
PZA02806.4	1	34326335
PZA02806.9	1	34326561
PZA02807.5	5	167939710
PZA02808.12	2	44606596
PZA02808.16	2	44606521
PZA02819.35	4	172692287
PZA02820.6	5	200813312
PZA02822.2	5	148711030
PZA02824.1	3	217329679
PZA02824.3	3	217329647
PZA02825.8	4	173687507
PZA02831.5	2	131092323
PZA02837.5	1	287641039
PZA02844.1	9	17653885
PZA02850.18	7	169067788
PZA02850.4	7	169067986
PZA02853.10	10	25965887
PZA02853.7	10	25965933
PZA02856.1	3	155258569
PZA02862.3	unknown	unknown
PZA02865.11	4	220857872
PZA02869.2	1	4430055
PZA02869.8	1	4429897
PZA02872.1	7	13058813
PZA02872.3	7	13058709
PZA02878.12	9	37421825
PZA02888.3	3	134850306
PZA02890.3	2	187225194
PZA02890.4	2	187225134
PZA02890.5	2	187225116
PZA02894.1	5	945545
PZA02897.12	9	94285743
PZA02906.12	3	144466218
PZA02906.7	3	144466196
PZA02921.9	1	25035236
PZA02923.7	3	160467612
PZA02927.1	8	34077450
PZA02938.5	4	75728833
PZA02939.6	2	157152608
PZA02940.3	7	144884172
PZA02941.3	10	71120220
PZA02941.6	10	71120324
PZA02941.8	10	71120376
PZA02947.2	6	56454240
PZA02948.19	6	multiple
PZA02948.21	6	multiple
PZA02948.22	6	multiple
PZA02949.22	4	185103471
PZA02949.26	4	185103474
PZA02952.10	3	194250329
PZA02954.2	1	245653184
PZA02955.3	8	14721554
PZA02958.17	6	151993489
PZA02959.7	7	151622827
PZA02961.1	10	16264730
PZA02962.13	1	3205252
PZA02963.5	1	173860756
PZA02966.11	2	128180206
PZA02968.4	4	38941090
PZA02969.11	10	143676107
PZA02970.9	6	98507715
PZA02972.1	4	2848110
PZA02982.5	4	148401074
PZA02982.6	4	148401263
PZA02983.38	7	4244157
PZA02984.7	unknown	unknown
PZA02988.2	4	133757006
PZA02993.5	10	106620017
PZA02997.16	9	146470580
PZA02997.19	9	146470644
PZA03001.15	1	231037305
PZA03001.18	1	231037244
PZA03001.9	1	231037458
PZA03009.5	3	11414308
PZA03009.6	3	11414383
PZA03009.7	3	11414423
PZA03009.8	3	11414470
PZA03011.6	3	201790247
PZA03012.10	8	115257234
PZA03013.7	4	139753
PZA03013.8	4	139810
PZA03014.10	1	102663772
PZA03014.21	1	102663629
PZA03014.24	1	102663486
PZA03017.10	4	243222842
PZA03017.11	4	243222845
PZA03024.16	5	198534153
PZA03024.18	5	198534192
PZA03024.7	5	198534067
PZA03028.5	1	150749370
PZA03032.16	3	171364514
PZA03034.1	5	6784084
PZA03035.5	8	76419367
PZA03037.8	1	285977254
PZA03037.9	1	285977327
PZA03041.8	6	115280978
PZA03042.1	5	64413079
PZA03042.5	5	64413280
PZA03046.2	5	3194673
PZA03046.3	5	3194670
PZA03047.12	6	20837504
PZA03047.20	6	20837292
PZA03047.22	6	20837423
PZA03048.16	unknown	unknown
PZA03048.17	unknown	unknown
PZA03049.23	5	88604674
PZA03051.1	10	96216125
PZA03051.3	10	96216463
PZA03052.15	8	129384587
PZA03054.3	3	31695569
PZA03054.5	3	31695534
PZA03058.17	9	19292988
PZA03062.15	9	3873152
PZA03062.7	9	3873116
PZA03063.17	6	25335322
PZA03063.18	6	25335362
PZA03064.6	1	248503298
PZA03067.17	7	14354166
PZA03067.20	7	14354237
PZA03068.11	6	140541768
PZA03068.13	6	140541669
PZA03069.6	6	81808425
PZA03073.23	3	168443677
PZA03073.24	3	168443701
PZA03074.24	1	201295597
PZA03078.33	10	6121326
PZA03081.1	4	215393350
PZA03081.10	4	215393294
PZA03081.11	4	215393400
PZA03081.13	4	215393136
PZA03081.6	4	215393255
PZA03083.7	2	159619959
PZA03089.12	6	165724924
PZA03090.31	6	69840279
PZA03092.7	5	11992708
PZA03094.18	5	173094139
PZA03094.6	5	173094351
PZA03095.1	5	65742112
PZA03095.2	5	65742301
PZA03095.3	5	65742041
PZA03097.4	9	44359301
PZA03097.7	9	44359430
PZA03097.9	9	44359547
PZA03102.10	6	145827611
PZA03102.2	6	145827685
PZA03102.9	6	145827559
PZA03137.1	10	28596680
PZA03172.2	5	188293932
PZA03223.3	7	137629283
PZA03258.2	7	137628516
PZA03283.2	3	7602160
PZA03284.3	5	91651999
PZA03290.1	6	9243581
PZA03290.2	6	9243719
PZA03295.4	7	167014816
PZA03296.6	6	83064659
PZA03296.7	6	83064683
PZA03298.1	5	21811793
PZA03298.2	5	21811770
PZA03301.2	1	240574247
PZA03301.4	1	240574418
PZA03302.1	3	115392917
PZA03305.6	1	286642571
PZA03305.7	1	286642715
PZA03311.2	4	153293139
PZA03311.3	4	153293180
PZA03311.4	4	153293452
PZA03311.5	4	153293454
PZA03312.1	5	193296408
PZA03312.2	5	193296367
PZA03316.2	8	4766694
PZA03317.1	unknown	unknown
PZA03319.3	2	31946186
PZA03319.4	2	31946045
PZA03320.3	5	190229872
PZA03320.4	5	190229809
PZA03328.5	2	37328339
PZA03329.1	7	152631991
PZA03329.2	7	152631890
PZA03333.3	6	144141536
PZA03335.2	5	210890886
PZA03335.3	5	210890712
PZA03337.1	4	47028353
PZA03338.5	unknown	unknown
PZA03340.2	5	20201009
PZA03342.2	10	43936126
PZA03344.4	7	22002548
PZA03344.5	7	22002659
PZA03344.6	7	22002625
PZA03345.1	1	36548526
PZA03345.2	1	36548480
PZA03345.4	1	36548602
PZA03347.1	4	153293324
PZA03348.1	6	159808188
PZA03349.1	3	209957849
PZA03349.9	3	209957628
PZA03767.1	1	56389457
PZA03767.4	1	56389507
PZA03767.5	1	56389557
PZA03773.2	3	106631676
PZA03773.3	3	106631769
PZA03774.1	5	180804966
PZA03774.10	5	180807590
PZA03774.2	5	180805978
PZA03774.4	5	180806519
PZA03774.5	5	180806661
PZA03774.6	5	180806934
PZA03774.8	5	180807207
PZA03774.9	5	180807381
PZA03775.1	2	47926730
PZA03775.11	2	47924645
PZA03775.2	2	47926413
PZA03775.3	2	47926345
PZA03775.4	2	47926037
PZA03775.6	2	47925467
PZA03775.7	2	47925355
PZA03775.8	2	47925282
PZA03775.9	2	47925244
PZA03781.1	5	162157784
PZA03781.2	5	162158231
PZA03781.3	5	162158331
PZA03781.4	5	162158551
PZA03781.5	5	162158783
PZA03781.6	5	162159069
PZA03781.7	5	162159272
PZA03781.8	5	162159448
PZA03782.1	5	80011012
PZA03782.3	5	80011658
PZA03786.1	9	34889155
PZA03786.2	9	34889189
PZA03789.1	8	68477778
PZA03789.2	8	68478278
PZA03789.4	8	68478548
PZB00011.4	1	233401171
PZB00011.5	1	233401008
PZB00041.2	8	44555242
PZB00041.4	8	44554995
PZB00049.2	8	21137213
PZB00049.4	8	21136819
PZB00049.7	8	21137286
PZB00055.1	10	140493174
PZB00060.4	3	129381947
PZB00062.6	7	145056736
PZB00062.7	7	145056593
PZB00062.8	7	145056896
PZB00067.2	1	276161977
PZB00067.3	1	276161539
PZB00067.4	1	276162208
PZB00067.5	1	276161562
PZB00078.1	2	33043784
PZB00081.2	5	6960836
PZB00081.4	5	6960673
PZB00081.5	5	6961472
PZB00081.7	5	6960889
PZB00092.1	4	156289818
PZB00092.4	4	156289793
PZB00093.3	4	122796119
PZB00093.4	4	122796274
PZB00093.6	4	122796096
PZB00096.2	8	21135254
PZB00096.3	8	21135142
PZB00136.3	5	184587467
PZB00140.1	7	2081333
PZB00145.2	8	44553828
PZB00149.2	1	188047739
PZB00149.4	1	188047770
PZB00153.1	4	122795391
PZB00153.2	4	122795343
PZB00153.3	4	122795421
PZB00153.5	4	122795210
PZB00160.1	8	157472833
PZB00160.2	8	157472883
PZB00160.4	8	157473046
PZB00165.2	2	43923473
PZB00165.6	2	43923377
PZB00169.4	7	127435474
PZB00169.6	7	127435303
PZB00175.1	7	104898621
PZB00175.2	7	104898467
PZB00175.3	7	104898624
PZB00175.4	7	104898656
PZB00175.5	7	104898448
PZB00180.1	5	80010049
PZB00180.2	5	80010397
PZB00183.3	2	43923270
PZB00188.6	multiple	
PZB00207.3	9	131405995
PZB00221.3	9	142271047
PZB00221.8	9	142271439
PZB00229.3	4	156289504
PZB00232.1	5	63417714
PZB00232.2	5	63418190
PZB00232.4	5	63418034
PZB00232.5	5	63418171
PZB00379.3	9	26661507
PZB00379.4	9	26661490
PZB00379.5	9	26661424
PZB00393.7	1	202135418
PZB00409.3	10	84002430
PZB00416.2	6	131405904
PZB00416.5	6	131405350
PZB00454.2	1	188047850
PZB00454.3	1	188047803
PZB00454.4	1	188047932
PZB00454.5	1	188048031
PZB00498.2	5	88120483
PZB00498.4	5	88120268
PZB00598.1	7	161518116
PZB00598.2	7	161518065
PZB00603.3	7	165994896
PZB00603.4	7	165994893
PZB00603.5	7	165994838
PZB00607.2	2	104938513
PZB00761.1	9	83959651
PZB00761.2	9	83960023
PZB00849.2	10	43580042
PZB00849.3	10	43580066
PZB00849.4	10	43580106
PZB00859.1	1	157104
PZB01109.2	3	194643852
PZB01109.3	3	194643970
PZB01110.1	9	24028795
PZB01110.2	9	24028867
PZB01110.3	9	24028611
PZB01111.6	10	134034875
PZB01111.7	10	134034686
PZB01111.8	10	134034407
PZB01112.3	5	68420111
PZB01112.4	5	68419601
PZB01112.5	5	68419948
PZB01112.6	5	68419832
PZB01113.4	4	146239224
PZB01114.1	9	60776323
PZB01114.3	9	60775971
PZB01115.1	5	60964602
PZB01115.5	5	60964409
PZB01115.6	5	60964310
PZB01116.2	5	119741405
PZB01221.1	6	82511779
PZB01222.1	6	164419435
PZB01222.3	6	164419373
PZB01223.3	3	192865132
PZB01223.4	3	192865213
PZB01223.7	3	192864975
PZB01225.1	1	63234203
PZB01225.2	1	63234310
PZB01225.4	1	63234263
PZB01228.1	7	15335449
PZB01228.3	7	15335531
PZB01228.4	7	15335577
PZB01233.2	2	3376330
PZB01233.3	2	3375911
PZB01238.5	7	161167790
PZB01238.6	7	161167688
PZB01427.1	1	270363945
PZB01427.3	1	270363859
PZB01463.2	3	157318000
PZB01463.3	3	157318250
PZB01463.4	3	157318105
PZD00003.1	3	161572452
PZD00003.3	3	161572823
PZD00007.1	3	163618708
PZD00008.3	3	163617500
PZD00011.1	6	132084997
PZD00011.3	6	132084452
PZD00011.4	6	132084516
PZD00012.1	6	132078067
PZD00012.2	6	132079305
PZD00012.3	6	132079328
PZD00012.4	6	132079083
PZD00012.5	6	132078952
PZD00013.3	3	133484983
PZD00013.4	3	133484968
PZD00014.3	3	133482411
PZD00017.1	5	195724313
PZD00019.1	1	4912321
PZD00020.2	1	4835690
PZD00020.3	1	4836270
PZD00020.4	1	4835949
PZD00020.6	1	4836190
PZD00021.2	1	4835540
PZD00021.4	1	4835472
PZD00021.5	1	4835596
PZD00022.1	2	233129138
PZD00022.3	2	233129091
PZD00022.4	2	233128502
PZD00024.2	8	22274672
PZD00025.1	8	22277128
PZD00025.2	8	22276752
PZD00030.1	4	177974968
PZD00030.4	4	177975924
PZD00030.5	4	177976199
PZD00030.6	4	177975706
PZD00034.3	8	23005432
PZD00043.1	7	158733284
PZD00043.2	7	158733225
PZD00043.3	7	158733204
PZD00043.4	7	158733124
PZD00044.2	7	158727917
PZD00044.3	7	158728045
PZD00044.4	7	158727996
PZD00045.1	7	158729405
PZD00045.2	7	158729314
PZD00045.3	7	158729616
PZD00045.4	7	158728965
PZD00049.3	9	16960436
PZD00049.4	9	16960510
PZD00049.5	9	16960633
PZD00051.1	1	193880141
PZD00052.3	unknown	unknown
PZD00052.4	unknown	unknown
PZD00062.2	1	264795088
PZD00066.1	1	265199449
PZD00067.1	4	132735656
PZD00067.2	4	132735191
PZD00067.3	4	132735518
PZD00068.1	1	238902054
PZD00069.2	1	291833791
PZD00069.3	1	291833188
PZD00069.4	1	291834351
PZD00069.5	1	291833767
PZD00073.1	7	104898544
PZD00073.2	7	104899119
PZD00073.6	7	104899269
PZD00074.1	2	3375254
PZD00075.1	10	146599154
PZD00075.2	10	146599484
PZD00076.1	1	69427796
PZD00076.2	1	69427885
PZD00076.4	1	69427985
PZD00077.10	1	69439911
PZD00077.5	1	69439550
PZD00077.7	1	69439961
PZD00077.8	1	69439376
PZD00078.2	unknown	unknown
Ra2_ORF.1	unknown	unknown
Ra2_ORF.2	unknown	unknown
Ra2_ORF.4	unknown	unknown
Ra2_promoter.1	unknown	unknown
Ra2_promoter.2	unknown	unknown
Ra2_promoter.3	unknown	unknown
sh2.5	3	214841045
sh2.6	3	214840985
sh2.7	3	214840411
sh2.9	3	214841109
su1.4	4	41189019
su1.5	4	41198386
su1.7	4	41196048
tb1.17	1	264847517
tb1.18	1	264847469
tb1.19	1	264847429
tb1.5	1	264849536
te1.3	3	163617892
te1.4	3	163617645
zagl1.1	1	4912526
zagl1.6	1	4835658
zap1.2	2	233128584
zen1.1	unknown	unknown
zen1.2	unknown	unknown
zen1.4	unknown	unknown
zfl2.6	2	12543294
zmm3.4	9	16966348
