SNP_ID	cdv_marker_id	Chromosome	Position	alt_pos	mult_positions	amplicon	cdv_map_feature.name	gene	candidate/random	Genaissance_daa_id	Sequenom_daa_id	count_amplicons	count_cmf	count_gene
PZA00010.5	3610	1	119703101			PZA00010	AY106608	AY106608	random	7653	10515	1	1	1
PZA00013.10	6680	1	263276247			PZA00013	AY106600	AY106600	random	7654	10516	1	1	1
PZA00013.11	6681	1	263276005			PZA00013	AY106600	AY106600	random	7655	10517	0	0	0
PZA00013.9	3611	1	263276335			PZA00013	AY106600	AY106600	random	7657	10518	0	0	0
PZA00015.4	10830	9	109909675			PZA00015	AY106591	AY106591	random	9837	10519	1	1	1
PZA00017.1	3532	1	35620725			PZA00017	AY106585	AY106585	random	7658	10520	1	1	1
PZA00018.5	3613	8	155326020			PZA00018	AY106579	AY106579	random	7659	10521	1	1	1
PZA00029.11	3615	2	144528591			PZA00029	AY106506	AY106506	random	7660	10522	1	1	1
PZA00029.12	3533	2	144528504			PZA00029	AY106506	AY106506	random	7661	10523	0	0	0
PZA00030.11	3616	multiple			Chr1(275076660);Chr8(71078729);	PZA00030	AY106497	AY106497	random	7663	10524	1	1	1
PZA00031.5	3617	5	123268237			PZA00031	AY106496	AY106496	random	7664	10525	1	1	1
PZA00041.3	3534	6	122849505			PZA00041	AY106443	AY106443	random	7665	10526	1	1	1
PZA00042.2	3619	6	157129313			PZA00042	AY106421	AY106421	random	7666	10527	1	1	1
PZA00042.5	3535	6	157129197			PZA00042	AY106421	AY106421	random	7667	10528	0	0	0
PZA00043.7	3621	7	167218288			PZA00043	AY106390	AY106390	random	7668	10529	1	1	1
PZA00045.1	3622	8	116787172			PZA00045	AY106377	AY106377	random	7669	10530	1	1	1
PZA00047.2	3624	3	203908761			PZA00047	AY106361	AY106361	random	7670	10532	1	1	1
PZA00049.12	3627	8	132749967			PZA00049	AY106357	AY106357	random	7671	10533	1	1	1
PZA00050.9	3628	1	295459549			PZA00050	AY106349	AY106349	random	7672	10534	1	1	1
PZA00051.2	3630	4	245051649	Approximate: position of another SNP from the same amplicon plus 100 bases		PZA00051	AY106348	AY106348	random	7673	10536	1	1	1
PZA00058.5	3631	8	5966698			PZA00058	AY106292	AY106292	random	7674	10537	1	1	1
PZA00058.6	10862	8	5966738			PZA00058	AY106292	AY106292	random	9838	10538	0	0	0
PZA00060.2	3632	9	124619424			PZA00060	AY106286	AY106286	random	7675	10539	1	1	1
PZA00061.1	3633	2	33824834			PZA00061	AY106284	AY106284	random	7676	10540	1	1	1
PZA00065.2	3537	unknown	unknown			PZA00065	AY106265	AY106265	random	7677	10541	1	1	1
PZA00069.4	3538	5	214424975			PZA00069	AY106236	AY106236	random	7678	10542	1	1	1
PZA00070.5	3539	9	85334547			PZA00070	AY106233	AY106233	random	7679	10543	1	1	1
PZA00078.2	3639	4	18502179			PZA00078	AY106207	AY106207	random	9839	10544	1	1	1
PZA00079.1	3540	10	18903460			PZA00079	AY106206	AY106206	random	7680	10545	1	1	1
PZA00081.17	3641	1	45675053			PZA00081	AY106187	AY106187	random	7681	10546	1	1	1
PZA00084.2	3642	7	43948264			PZA00084	AY106170	AY106170	random	7682	10547	1	1	1
PZA00084.3	3541	7	43948320			PZA00084	AY106170	AY106170	random	7683	10548	0	0	0
PZA00086.8	3643	unknown	unknown			PZA00086	AY106134	AY106134	random	7684	10549	1	1	1
PZA00088.3	3644	3	228614270			PZA00088	AY106131	AY106131	random	7685	10550	1	1	1
PZA00090.2	10882	8	137480801			PZA00090	AY106120	AY106120	random	9840	10551	1	1	1
PZA00092.1	3543	4	113503659			PZA00092	AY106115	AY106115	random	7686	10554	1	1	1
PZA00092.5	3645	4	113503635			PZA00092	AY106115	AY106115	random	7687	10555	0	0	0
PZA00093.2	5993	8	123273467			PZA00093	AY106111	AY106111	random	7688	10556	1	1	1
PZA00096.26	3647	7	144013500			PZA00096	AY110964	AY110964	random	7689	10557	1	1	1
PZA00097.13	3648	8	144652871			PZA00097	AY110958	AY110958	random	7690	10559	1	1	1
PZA00098.14	3650	1	161472433			PZA00098	AY110943	AY110943	random	7691	10560	1	1	1
PZA00100.10	7302	3	5480277			PZA00100	AY110897	AY110897	random	9841	10561	1	1	1
PZA00100.12	10888	3	5479991			PZA00100	AY110897	AY110897	random	9842	10563	0	0	0
PZA00100.14	10890	3	5480312			PZA00100	AY110897	AY110897	random	9843	10564	0	0	0
PZA00100.9	3652	3	5479958			PZA00100	AY110897	AY110897	random	7692	10566	0	0	0
PZA00103.20	3655	unknown	unknown			PZA00103	AY110882	AY110882	random	7693	10567	1	1	1
PZA00106.9	3657	1	10069039			PZA00106	AY110853	AY110853	random	9844	10571	1	1	1
PZA00107.18	3658	3	180341137			PZA00107	AY110849	AY110849	random	7694	10572	1	1	1
PZA00108.12	3660	2	13779884			PZA00108	AY110848	AY110848	random	7695	10573	1	1	1
PZA00108.14	10909	2	13779694			PZA00108	AY110848	AY110848	random	9846	10574	0	0	0
PZA00108.15	10910	2	13779745			PZA00108	AY110848	AY110848	random	9847	10575	0	0	0
PZA00109.3	3661	3	82173052			PZA00109	AY110845	AY110845	random	7696	10576	1	1	1
PZA00109.5	10911	3	82173017			PZA00109	AY110845	AY110845	random	9848	10577	0	0	0
PZA00111.2	3663	7	133825965			PZA00111	AY110837	AY110837	random	7697	10578	1	1	1
PZA00111.4	3547	7	133825665			PZA00111	AY110837	AY110837	random	9849	10579	0	0	0
PZA00111.5	10912	7	133825912			PZA00111	AY110837	AY110837	random	9850	10580	0	0	0
PZA00111.6	10913	7	133825909			PZA00111	AY110837	AY110837	random	9851	10581	0	0	0
PZA00111.8	10915	7	133825812			PZA00111	AY110837	AY110837	random	9852	10582	0	0	0
PZA00114.3	3548	3	142431173			PZA00114	AY106108	AY106108	random	7698	10583	1	1	1
PZA00116.2	3667	9	125052222			PZA00116	AY106099	AY106099	random	9853	10584	1	1	1
PZA00119.4	3670	1	83595286			PZA00119	AY106088	AY106088	random	7699	10586	1	1	1
PZA00120.4	3671	8	147049220			PZA00120	AY106085	AY106085	random	7700	10587	1	1	1
PZA00123.1	3674	9	149398788			PZA00123	AY106075	AY106075	random	7701	10589	1	1	1
PZA00125.2	3677	4	36047409			PZA00125	AY106061	AY106061	random	7702	10591	1	1	1
PZA00131.14	3680	1	203385274			PZA00131	AY106010	AY106010	random	9854	10592	1	1	1
PZA00132.17	3551	7	33979080			PZA00132	AY106000	AY106000	random	7703	10594	1	1	1
PZA00132.18	7582	7	33979181			PZA00132	AY106000	AY106000	random	9855	10595	0	0	0
PZA00132.3	3681	7	33979012			PZA00132	AY106000	AY106000	random	7704	10596	0	0	0
PZA00135.6	3685	10	109542101			PZA00135	AY105994	AY105994	random	7705	10598	1	1	1
PZA00137.2	3687	1	247821390			PZA00137	AY105989	AY105989	random	9856	10600	1	1	1
PZA00139.14	3688	4	20065054			PZA00139	AY105977	AY105977	random	7706	10601	1	1	1
PZA00140.10	10931	2	140264946			PZA00140	AY105973	AY105973	random	9857	10602	1	1	1
PZA00140.6	3690	2	140264872			PZA00140	AY105973	AY105973	random	7707	10603	0	0	0
PZA00140.9	10930	2	140264993			PZA00140	AY105973	AY105973	random	9858	10604	0	0	0
PZA00142.6	10934	8	142887237			PZA00142	AY105958	AY105958	random	9860	10607	1	1	1
PZA00148.2	3691	unknown	unknown			PZA00148	AY105906	AY105906	random	7708	10608	1	1	1
PZA00153.3	3555	unknown	unknown			PZA00153	AY105888	AY105888	random	7709	10609	1	1	1
PZA00153.6	3694	unknown	unknown			PZA00153	AY105888	AY105888	random	7710	10610	0	0	0
PZA00163.4	3695	2	220264713			PZA00163	AY105839	AY105839	random	7711	10612	1	1	1
PZA00164.1	3696	2	217788232			PZA00164	AY105837	AY105837	random	7712	10613	1	1	1
PZA00164.2	10950	2	217788271			PZA00164	AY105837	AY105837	random	9861	10614	0	0	0
PZA00164.3	10951	2	217788160			PZA00164	AY105837	AY105837	random	9862	10615	0	0	0
PZA00166.1	3557	3	171935933			PZA00166	AY105819	AY105819	random	9863	10616	1	1	1
PZA00166.3	3697	3	171935683			PZA00166	AY105819	AY105819	random	7713	10617	0	0	0
PZA00170.1	3700	2	69623218			PZA00170	AY110082	AY110082	random	7715	10619	1	1	1
PZA00170.3	6005	2	69623275			PZA00170	AY110082	AY110082	random	7716	10620	0	0	0
PZA00170.4	6006	2	69623323			PZA00170	AY110082	AY110082	random	7717	10621	0	0	0
PZA00174.1	3702	10	66408538			PZA00174	AY109975	AY109975	random	7718	10622	1	1	1
PZA00174.2	3703	10	66408674			PZA00174	AY109975	AY109975	random	7719	10623	0	0	0
PZA00175.2	3704	1	8510027			PZA00175	AY105791	AY105791	random	7720	10624	1	1	1
PZA00176.8	3705	2	10533421			PZA00176	AY109951	AY109951	random	7721	10625	1	1	1
PZA00177.4	3706	8	155435599			PZA00177	AY105784	AY105784	random	7722	10626	1	1	1
PZA00178.3	3707	7	165275756			PZA00178	AY109945	AY109945	random	7723	10627	1	1	1
PZA00182.3	3712	6	113705266			PZA00182	AY105767	AY105767	random	7724	10628	1	1	1
PZA00182.4	3713	6	113705211			PZA00182	AY105767	AY105767	random	7725	10629	0	0	0
PZA00184.1	3714	9	151289948			PZA00184	AY105759	AY105759	random	7726	10631	1	1	1
PZA00184.4	3715	9	151289826			PZA00184	AY105759	AY105759	random	9864	10632	0	0	0
PZA00188.1	3719	7	2998280			PZA00188	AY105750	AY105750	random	7727	10635	1	1	1
PZA00188.3	6008	7	2998619			PZA00188	AY105750	AY105750	random	7728	10636	0	0	0
PZA00191.5	3558	5	2123914			PZA00191	AY109780	AY109780	random	7729	10638	1	1	1
PZA00192.6	3559	1	35621919			PZA00192	AY105747	AY105747	random	9865	10640	1	1	1
PZA00192.7	3722	1	35621803			PZA00192	AY105747	AY105747	random	7730	10641	0	0	0
PZA00193.2	3724	4	197964459			PZA00193	AY109777	AY109777	random	7731	10643	1	1	1
PZA00198.39	3726	6	164470369			PZA00198	AY105732	AY105732	random	7732	10645	1	1	1
PZA00200.11	6011	2	5821018			PZA00200	AY105707	AY105707	random	7733	10646	1	1	1
PZA00200.17	10974	2	5821618			PZA00200	AY105707	AY105707	random	9866	10648	0	0	0
PZA00200.9	3728	2	5821159			PZA00200	AY105707	AY105707	random	7734	10649	0	0	0
PZA00201.2	3729	3	197456470			PZA00201	AY105705	AY105705	random	7735	10650	1	1	1
PZA00204.1	10976	10	127003264			PZA00204	AY105694	AY105694	random	9867	10651	1	1	1
PZA00210.1	3732	3	29693561			PZA00210	AY105688	AY105688	random	9868	10654	1	1	1
PZA00210.6	3733	3	29693448			PZA00210	AY105688	AY105688	random	7736	10655	0	0	0
PZA00211.7	3734	7	125465928			PZA00211	AY105684	AY105684	random	9869	10657	1	1	1
PZA00212.1	3735	6	71680344			PZA00212	AY105681	AY105681	random	7737	10658	1	1	1
PZA00213.19	3736	9	126584378			PZA00213	AY105678	AY105678	random	7738	10659	1	1	1
PZA00214.1	3738	6	91704093			PZA00214	AY109567	AY109567	random	7739	10660	1	1	1
PZA00216.9	10988	4	2589400			PZA00216	AY109508	AY109508	random	9870	10662	1	1	1
PZA00218.1	3742	4	78946415			PZA00218	AY105676	AY105676	random	9871	10663	1	1	1
PZA00218.6	3743	4	78946482			PZA00218	AY105676	AY105676	random	9872	10664	0	0	0
PZA00219.7	3745	3	219309085			PZA00219	AY109476	AY109476	random	9873	10666	1	1	1
PZA00220.11	3746	3	206760693			PZA00220	AY105675	AY105675	random	7740	10667	1	1	1
PZA00220.12	10992	3	206760843			PZA00220	AY105675	AY105675	random	9874	10668	0	0	0
PZA00221.7	3747	unknown	unknown			PZA00221	AY109474	AY109474	random	7741	10669	1	1	1
PZA00225.8	3753	9	104537850			PZA00225	AY109146	AY109146	random	9875	10670	1	1	1
PZA00226.7	3755	2	43256960			PZA00226	AY105667	AY105667	random	7742	10672	1	1	1
PZA00227.8	10997	7	161520499			PZA00227	AY109140	AY109140	random	9876	10674	1	1	1
PZA00230.5	3757	1	298412984			PZA00230	AY105651	AY105651	random	7743	10675	1	1	1
PZA00232.24	3758	3	95541392			PZA00232	AY105631	AY105631	random	7744	10676	1	1	1
PZA00234.21	3761	3	221730615			PZA00234	AY109137	AY109137	random	7745	10677	1	1	1
PZA00235.6	3564	1	292728854			PZA00235	AY109128	AY109128	random	7746	10679	1	1	1
PZA00235.8	3762	1	292728923			PZA00235	AY109128	AY109128	random	7747	10680	0	0	0
PZA00237.2	3763	2	6041506			PZA00237	AY109111	AY109111	random	7748	10681	1	1	1
PZA00237.7	11003	2	6041221			PZA00237	AY109111	AY109111	random	9877	10683	0	0	0
PZA00237.8	11004	2	6041339			PZA00237	AY109111	AY109111	random	9878	10684	0	0	0
PZA00238.3	11008	2	194696599			PZA00238	AY109108	AY109108	random	9879	10685	1	1	1
PZA00240.9	11011	1	41231817			PZA00240	AY109099	AY109099	random	9880	10688	1	1	1
PZA00241.6	3766	6	150470602			PZA00241	AY109097	AY109097	random	7749	10689	1	1	1
PZA00243.27	11013	1	295771152			PZA00243	AY109093	AY109093	random	9881	10690	1	1	1
PZA00245.14	3768	1	284407382			PZA00245	AY108942	AY108942	random	7750	10691	1	1	1
PZA00245.16	3769	1	284407357			PZA00245	AY108942	AY108942	random	7751	10692	0	0	0
PZA00245.17	11017	1	284407550			PZA00245	AY108942	AY108942	random	9882	10693	0	0	0
PZA00245.18	11018	1	284407522			PZA00245	AY108942	AY108942	random	9883	10694	0	0	0
PZA00245.19	11019	1	284407493			PZA00245	AY108942	AY108942	random	9884	10695	0	0	0
PZA00249.2	3771	5	100227859			PZA00249	AY108927	AY108927	random	7752	10696	1	1	1
PZA00250.1	3772	6	133090099			PZA00250	AY108917	AY108917	random	7753	10697	1	1	1
PZA00251.1	3773	10	122517816			PZA00251	AY108914	AY108914	random	7754	10698	1	1	1
PZA00254.3	3775	3	139668467			PZA00254	AY108906	AY108906	random	9885	10699	1	1	1
PZA00255.15	3777	5	169719615			PZA00255	AY108754	AY108754	random	7755	10700	1	1	1
PZA00255.17	11030	5	169719715			PZA00255	AY108754	AY108754	random	9887	10701	0	0	0
PZA00256.16	3778	7	17397465	Approximate: position of another SNP from the same amplicon plus 50 bases		PZA00256	AY108738	AY108738	random	7756	10703	1	1	1
PZA00256.21	3779	7	17397515	Approximate: position of another SNP from the same amplicon plus 100 bases		PZA00256	AY108738	AY108738	random	7757	10704	0	0	0
PZA00256.23	6016	7	17397615	Approximate: position of another SNP from the same amplicon plus 200 bases		PZA00256	AY108738	AY108738	random	7758	10705	0	0	0
PZA00257.11	3780	10	10432605			PZA00257	AY108721	AY108721	random	9888	10706	1	1	1
PZA00257.22	3781	10	10432680			PZA00257	AY108721	AY108721	random	9889	10707	0	0	0
PZA00261.6	3786	5	75234294			PZA00261	AY105608	AY105608	random	7759	10708	1	1	1
PZA00263.14	11039	1	65108102			PZA00263	AY105580	AY105580	random	9890	10709	1	1	1
PZA00266.5	3789	6	161570166			PZA00266	AY105541	AY105541	random	7760	10710	1	1	1
PZA00270.3	3790	multiple			Chr5(150771372);Chr10(139167376);	PZA00270	AY105508	AY105508	random	7761	10711	1	1	1
PZA00273.1	11046	5	83357417			PZA00273	AY105487	AY105487	random	9891	10712	1	1	1
PZA00274.7	3793	1	41505016			PZA00274	AY105485	AY105485	random	7763	10713	1	1	1
PZA00277.17	11056	2	141942780			PZA00277	AY105475	AY105475	random	9892	10715	1	1	1
PZA00277.9	3796	2	141942814			PZA00277	AY105475	AY105475	random	7764	10716	0	0	0
PZA00280.14	3797	2	62870552			PZA00280	AY105462	AY105462	random	7765	10717	1	1	1
PZA00287.1	3803	9	72258299			PZA00287	AY105436	AY105436	random	7766	10718	1	1	1
PZA00289.11	3804	1	215472483			PZA00289	AY105412	AY105412	random	9893	10719	1	1	1
PZA00294.20	3806	1	63913289			PZA00294	AY108575	AY108575	random	7767	10720	1	1	1
PZA00296.6	3810	2	multiple		Chr2(209957515;210039173);	PZA00296	AY108561	AY108561	random	7768	10722	1	1	1
PZA00297.2	3811	3	39992968			PZA00297	AY108555	AY108555	random	7769	10723	1	1	1
PZA00297.3	3570	3	39992991			PZA00297	AY108555	AY108555	random	7770	10724	0	0	0
PZA00297.4	11079	3	39993067			PZA00297	AY108555	AY108555	random	9894	10725	0	0	0
PZA00298.4	11086	8	166980037			PZA00298	AY108547	AY108547	random	9895	10729	1	1	1
PZA00298.5	11087	8	166979956			PZA00298	AY108547	AY108547	random	9896	10730	0	0	0
PZA00299.2	6683	8	77788745			PZA00299	AY108543	AY108543	random	7771	10731	1	1	1
PZA00300.12	6019	5	171689147			PZA00300	AY108540	AY108540	random	9897	10732	1	1	1
PZA00300.13	6020	5	171689041			PZA00300	AY108540	AY108540	random	9898	10733	0	0	0
PZA00300.14	6021	5	171688876			PZA00300	AY108540	AY108540	random	7772	10734	0	0	0
PZA00300.16	11089	5	171689181			PZA00300	AY108540	AY108540	random	9899	10735	0	0	0
PZA00301.3	3813	1	104998371			PZA00301	AY108536	AY108536	random	7773	10737	1	1	1
PZA00303.19	3814	3	187604432			PZA00303	AY108531	AY108531	random	7774	10738	1	1	1
PZA00303.21	11093	3	187604290			PZA00303	AY108531	AY108531	random	9900	10739	0	0	0
PZA00307.12	3816	1	291983606			PZA00307	AY108508	AY108508	random	7775	10741	1	1	1
PZA00307.14	11102	1	291983663			PZA00307	AY108508	AY108508	random	9901	10742	0	0	0
PZA00307.17	11105	1	291983425			PZA00307	AY108508	AY108508	random	9902	10743	0	0	0
PZA00309.2	11108	3	1240409			PZA00309	AY108494	AY108494	random	9903	10744	1	1	1
PZA00310.5	3571	10	20451157			PZA00310	AY108492	AY108492	random	7776	10745	1	1	1
PZA00314.6	3819	8	153355348			PZA00314	AY108481	AY108481	random	7777	10746	1	1	1
PZA00314.8	6685	8	153355063			PZA00314	AY108481	AY108481	random	7778	10747	0	0	0
PZA00315.1	3820	4	39975317			PZA00315	AY108480	AY108480	random	7779	10748	1	1	1
PZA00315.6	3821	4	39975220			PZA00315	AY108480	AY108480	random	9904	10749	0	0	0
PZA00318.2	3823	1	255148812			PZA00318	AY108472	AY108472	random	7780	10750	1	1	1
PZA00323.3	3825	9	142499873			PZA00323	AY108441	AY108441	random	7781	10751	1	1	1
PZA00323.4	3826	9	142500070			PZA00323	AY108441	AY108441	random	9905	10752	0	0	0
PZA00326.16	3827	7	153447034			PZA00326	AY108433	AY108433	random	7782	10754	1	1	1
PZA00326.18	11122	7	153447109			PZA00326	AY108433	AY108433	random	9906	10755	0	0	0
PZA00326.19	11123	7	153447067			PZA00326	AY108433	AY108433	random	9907	10756	0	0	0
PZA00332.8	11129	4	194749351			PZA00332	AY108396	AY108396	random	9909	10757	1	1	1
PZA00332.9	11130	4	194749371			PZA00332	AY108396	AY108396	random	9910	10758	0	0	0
PZA00334.2	3832	8	154182352			PZA00334	AY108366	AY108366	random	7783	10759	1	1	1
PZA00335.12	3833	multiple			Chr2(17581865);Chr3(143082611);Chr6(158386495);	PZA00335	AY108364	AY108364	random	7784	10760	1	1	1
PZA00337.3	3835	10	86327722			PZA00337	AY108314	AY108314	random	7785	10761	1	1	1
PZA00337.4	11138	10	86327620			PZA00337	AY108314	AY108314	random	9911	10762	0	0	0
PZA00337.5	11139	10	86327655			PZA00337	AY108314	AY108314	random	9912	10763	0	0	0
PZA00342.9	3838	10	130170772			PZA00342	AY108294	AY108294	random	7786	10764	1	1	1
PZA00344.10	3841	4	193202013			PZA00344	AY108287	AY108287	random	7787	10765	1	1	1
PZA00345.15	3842	5	61898524			PZA00345	AY108281	AY108281	random	9913	10766	1	1	1
PZA00346.1	11148	7	140152310			PZA00346	AY108275	AY108275	random	9914	10768	1	1	1
PZA00346.2	11149	7	140152258			PZA00346	AY108275	AY108275	random	9915	10769	0	0	0
PZA00346.3	11150	7	140152256			PZA00346	AY108275	AY108275	random	9916	10770	0	0	0
PZA00349.3	3845	2	21201165			PZA00349	AY108270	AY108270	random	7788	10772	1	1	1
PZA00349.5	11159	2	21201138			PZA00349	AY108270	AY108270	random	9917	10774	0	0	0
PZA00350.2	3846	7	147187128			PZA00350	AY108268	AY108268	random	7789	10775	1	1	1
PZA00352.22	3847	5	191075724			PZA00352	AY108254	AY108254	random	9918	10776	1	1	1
PZA00355.1	6687	6	78756195	Approximate: position of another SNP from the same amplicon plus 50 bases		PZA00355	AY108249	AY108249	random	7790	10777	1	1	1
PZA00355.2	6688	6	78756245	Approximate: position of another SNP from the same amplicon plus 100 bases		PZA00355	AY108249	AY108249	random	7791	10778	0	0	0
PZA00356.9	6022	1	263637986			PZA00356	AY108246	AY108246	random	7792	10779	1	1	1
PZA00364.5	3855	1	268082607			PZA00364	AY108217	AY108217	random	9919	10782	1	1	1
PZA00364.6	11164	1	268082618			PZA00364	AY108217	AY108217	random	9920	10783	0	0	0
PZA00367.2	3857	2	161879250			PZA00367	AY108187	AY108187	random	7793	10785	1	1	1
PZA00369.1	3576	1	219201506			PZA00369	AY108182	AY108182	random	9921	10789	1	1	1
PZA00370.1	3862	7	122373056			PZA00370	AY108179	AY108179	random	9922	10793	1	1	1
PZA00370.5	3863	7	122373149			PZA00370	AY108179	AY108179	random	9923	10794	0	0	0
PZA00380.5	3868	3	39489976			PZA00380	AY108088	AY108088	random	7794	10795	1	1	1
PZA00380.7	3869	3	39490060			PZA00380	AY108088	AY108088	random	7795	10796	0	0	0
PZA00381.3	3870	1	237639087	Approximate: position of another SNP from the same amplicon plus 50 bases		PZA00381	AY108087	AY108087	random	7796	10797	1	1	1
PZA00381.4	11185	1	237639037			PZA00381	AY108087	AY108087	random	9924	10798	0	0	0
PZA00381.5	11186	1	237639137	Approximate: position of another SNP from the same amplicon plus 100 bases		PZA00381	AY108087	AY108087	random	9925	10799	0	0	0
PZA00382.17	3871	6	118741714			PZA00382	AY108077	AY108077	random	9926	10801	1	1	1
PZA00385.3	3874	1	291738809			PZA00385	AY108020	AY108020	random	7799	10804	1	1	1
PZA00386.3	3876	7	164941846			PZA00386	AY108013	AY108013	random	7800	10806	1	1	1
PZA00390.6	3878	2	206974644			PZA00390	AY107985	AY107985	random	7801	10808	1	1	1
PZA00391.2	3879	3	157104591			PZA00391	AY107984	AY107984	random	7802	10809	1	1	1
PZA00392.3	11194	7	139404579			PZA00392	AY107970	AY107970	random	9927	10810	1	1	1
PZA00392.4	11195	7	139404709			PZA00392	AY107970	AY107970	random	9928	10811	0	0	0
PZA00393.1	3880	1	4175293			PZA00393	AY107967	AY107967	random	7803	10812	1	1	1
PZA00393.4	6041	1	4175573			PZA00393	AY107967	AY107967	random	7804	10813	0	0	0
PZA00394.11	3578	2	56930271			PZA00394	AY107964	AY107964	random	7805	10814	1	1	1
PZA00395.1	3882	5	202847226			PZA00395	AY107939	AY107939	random	7806	10815	1	1	1
PZA00395.2	3579	5	202847197			PZA00395	AY107939	AY107939	random	7807	10816	0	0	0
PZA00396.12	11197	2	4679467			PZA00396	AY107938	AY107938	random	9929	10817	1	1	1
PZA00401.11	3887	5	55324334			PZA00401	AY107930	AY107930	random	7809	10819	1	1	1
PZA00401.6	3888	5	55324262			PZA00401	AY107930	AY107930	random	7810	10820	0	0	0
PZA00406.1	6689	5	91466580			PZA00406	AY107907	AY107907	random	7811	10821	1	1	1
PZA00407.9	6043	5	48828227			PZA00407	AY107903	AY107903	random	7812	10822	1	1	1
PZA00408.7	3892	5	214442805			PZA00408	AY107896	AY107896	random	7813	10823	1	1	1
PZA00409.3	3894	10	62062924			PZA00409	AY107888	AY107888	random	7814	10824	1	1	1
PZA00411.1	3896	1	251196990			PZA00411	AY107876	AY107876	random	7815	10825	1	1	1
PZA00411.4	11213	1	251197217			PZA00411	AY107876	AY107876	random	9930	10826	0	0	0
PZA00411.5	11214	1	251197251			PZA00411	AY107876	AY107876	random	9931	10827	0	0	0
PZA00413.17	3897	3	125192483			PZA00413	AY107869	AY107869	random	7816	10828	1	1	1
PZA00413.18	11216	3	125192339			PZA00413	AY107869	AY107869	random	9932	10829	0	0	0
PZA00413.21	11219	3	125192462			PZA00413	AY107869	AY107869	random	9933	10830	0	0	0
PZA00417.2	3901	8	60100989			PZA00417	AY107851	AY107851	random	7817	10831	1	1	1
PZA00417.3	3582	8	60100774			PZA00417	AY107851	AY107851	random	7818	10832	0	0	0
PZA00419.1	3903	8	125230104			PZA00419	AY107836	AY107836	random	9934	10833	1	1	1
PZA00420.4	11225	3	226872236			PZA00420	AY107833	AY107833	random	9935	10835	1	1	1
PZA00422.2	3905	8	153373467			PZA00422	AY107817	AY107817	random	7819	10837	1	1	1
PZA00422.5	3906	8	153373529			PZA00422	AY107817	AY107817	random	9936	10838	0	0	0
PZA00422.6	11228	8	153373598			PZA00422	AY107817	AY107817	random	9937	10839	0	0	0
PZA00423.16	3907	7	167060647			PZA00423	AY107804	AY107804	random	7820	10840	1	1	1
